Sample.id,Continent,type,AON,NR,NOA,NF,M,lat,dem,soc,clay,nitrogen,ph,variance,entropy,NDVImax,Nppmax,ref,LWR,MAT,TDR,TWQ
BL1_EDME210000091,Europe,Forest,78.61548225,407.0809567,1299.66821,340.9487316,1839.062081,50.8624,-0.20102762,-0.71097034,-0.95570844,-0.5773741,-1.9824883,1.0768317,0.90183264,2.0112393,0.31414983,-1.0267627,-0.76181513,0.60125643,0.36815253,-0.85928106
BL2_EDME210000092,Europe,Forest,83.65742396,420.681395,1293.157265,337.9729641,1834.708006,50.8627,-0.20102762,-0.71097034,-0.95570844,-0.5773741,-1.9824883,1.0768317,0.90183264,2.0112393,0.31414983,-1.0267627,-0.76181513,0.60125643,0.36815253,-0.85928106
BL3_EDME210000093,Europe,Grassland,81.04582378,413.1060421,1274.46189,343.6391056,1834.801988,50.8667,-0.20641828,-0.72851413,0.30497447,-0.20113397,-0.37856564,0.967586,0.801634,1.7083534,0.33117643,-1.0175885,-0.76183593,0.6007203,0.3710035,-0.8746312
ERR1051325,North America,Agricultural land,39.50091251,194.2320329,625.2028309,169.3013049,1209.558589,34.98167,0.44849896,-0.43264207,0.4537681,-0.20294966,0.07540752,-0.15865584,0.69076204,2.082587,1.024572,-0.9783798,0.21421212,0.8284807,1.0088121,0.9328355
ERR436052,Australia,Agricultural land,29.29326714,51.07284876,207.6390939,8.670793409,412.2880703,-34.233,-0.23313946,-0.52694815,-0.0514888,-0.9071861,1.2267543,1.4254124,0.72748715,2.2938533,1.3722191,-0.80682623,0.22393811,0.87107366,1.3505114,0.74786484
ERR436053,Australia,Agricultural land,30.44520689,59.49463052,202.4126513,10.45380974,427.4065706,-34.233,-0.23313946,-0.52694815,-0.0514888,-0.9071861,1.2267543,1.4254124,0.72748715,2.2938533,1.3722191,-0.80682623,0.22393811,0.87107366,1.3505114,0.74786484
ERR436054,Australia,Agricultural land,31.26102138,54.07949477,193.1755078,10.74303836,408.5028979,-34.233,-0.23313946,-0.52694815,-0.0514888,-0.9071861,1.2267543,1.4254124,0.72748715,2.2938533,1.3722191,-0.80682623,0.22393811,0.87107366,1.3505114,0.74786484
ERR436055,Australia,Agricultural land,51.59084927,54.77094488,205.3959031,9.403881142,413.1705739,-34.255,-0.22916436,-0.5439963,-0.15448065,-0.88279235,1.186994,0.927855,0.7701415,2.2903035,1.3712995,-0.79257154,0.22216143,0.86975724,1.3139607,0.74572325
ERR436057,Australia,Agricultural land,51.49458327,54.45849883,207.8229559,10.83785936,437.3790317,-34.255,-0.22916436,-0.5439963,-0.15448065,-0.88279235,1.186994,0.927855,0.7701415,2.2903035,1.3712995,-0.79257154,0.22216143,0.86975724,1.3139607,0.74572325
ERR436058,Australia,Agricultural land,46.45027442,53.80292888,227.688806,12.03560411,429.6917861,-34.255,-0.22916436,-0.5439963,-0.15448065,-0.88279235,1.186994,0.927855,0.7701415,2.2903035,1.3712995,-0.79257154,0.22216143,0.86975724,1.3139607,0.74572325
